Date,price,short_ma,long_ma,position,signal,executed_position,market_return,strategy_return_gross,trade_occurred,transaction_cost,strategy_return_net,strategy_equity,buy_hold_equity
2019-06-07,258.4592590332031,257.61309204101565,247.5814210510254,1,0.0,1.0,0.010006817897499687,0.010006817897499687,0.0,0.0,0.010006817897499687,1.1483274799835532,1.402525963071967
2019-06-10,259.6453552246094,257.7615283203125,247.61205207824707,1,0.0,1.0,0.004589103117617066,0.004589103117617066,0.0,0.0,0.004589103117617066,1.153597273201991,1.4089622993416395
2019-06-11,259.5824890136719,257.8768978881836,247.64312141418458,1,0.0,1.0,-0.00024212337972739917,-0.00024212337972739917,0.0,0.0,-0.00024212337972739917,1.153317960331359,1.4086211566278144
2019-06-12,259.12432861328125,257.9229049682617,247.6735823059082,1,0.0,1.0,-0.0017649896267328824,-0.0017649896267328824,0.0,0.0,-0.0017649896267328824,1.1512823660950495,1.40613495489837
2019-06-13,260.1934814453125,257.9877780151367,247.70177490234374,1,0.0,1.0,0.00412602258442063,0.00412602258442063,0.0,0.0,0.00412602258442063,1.156032583138603,1.411936699479024
2019-06-14,259.9059143066406,258.0388131713867,247.71848052978515,1,0.0,1.0,-0.0011052050077292597,-0.0011052050077292597,0.0,0.0,-0.0011052050077292597,1.15475493013862,1.4103762199681629
2019-06-17,260.00469970703125,258.07816619873046,247.73505996704102,1,0.0,1.0,0.0003800813869672126,0.0003800813869672126,0.0,0.0,0.0003800813869672126,1.1551938309940744,1.4109122777179939
2019-06-18,262.7272644042969,258.1469937133789,247.75834609985353,1,0.0,1.0,0.010471213406270552,0.010471213406270552,0.0,0.0,0.010471213406270552,1.1672901121240205,1.4256862412755062
2019-06-19,263.3203125,258.22372833251956,247.78982177734375,1,0.0,1.0,0.0022572765603439127,0.0022572765603439127,0.0,0.0,0.0022572765603439127,1.1699250087332391,1.4289044094103422
2019-06-20,265.8360900878906,258.37737335205077,247.8338316345215,1,0.0,1.0,0.009554058188696146,0.009554058188696146,0.0,0.0,0.009554058188696146,1.1811025403430873,1.4425562452839331
